鍵值	繁體中文	简体中文	日文	英文	泰文	葡语	西语	德语	俄语	法语	韓文
STAGE_NAME_512	機場5-1(困難)	机场5-1(困难)	空港5-1(ハード)	Sky 5-1(Hard)	สนามบิน 5-1 (ยาก)	Céu 5-1(Difícil)	Cielo 5-1 (Difícil)	Himmel 5-1(Schwierig)	Небо 5-1(Слож.)	Ciel 5-1 (Difficile)	공항 5-1(어려움)
STAGE_NAME_522	機場5-2(困難)	机场5-2(困难)	空港5-2(ハード)	Sky 5-2(Hard)	สนามบิน 5-2 (ยาก)	Céu 5-2(Difícil)	Cielo 5-2 (Difícil)	Himmel 5-2(Schwierig)	Небо 5-2(Слож.)	Ciel 5-2 (Difficile)	공항 5-2(어려움)
STAGE_NAME_532	機場5-3(困難)	机场5-3(困难)	空港5-3(ハード)	Sky 5-3(Hard)	สนามบิน 5-3 (ยาก)	Céu 5-3(Difícil)	Cielo 5-3 (Difícil)	Himmel 5-3(Schwierig)	Небо 5-3(Слож.)	Ciel 5-3 (Difficile)	공항 5-3(어려움)
STAGE_NAME_542	機場5-4(困難)	机场5-4(困难)	空港5-4(ハード)	Sky 5-4(Hard)	สนามบิน 5-4 (ยาก)	Céu 5-4(Difícil)	Cielo 5-4 (Difícil)	Himmel 5-4(Schwierig)	Небо 5-4(Слож.)	Ciel 5-4 (Difficile)	공항 5-4(어려움)
STAGE_NAME_552	機場5-5(困難)	机场5-5(困难)	空港5-5(ハード)	Sky 5-5(Hard)	สนามบิน 5-5 (ยาก)	Céu 5-5(Difícil)	Cielo 5-5 (Difícil)	Himmel 5-5(Schwierig)	Небо 5-5(Слож.)	Ciel 5-5 (Difficile)	공항 5-5(어려움)
STAGE_NAME_562	機場5-6(困難)	机场5-6(困难)	空港5-6(ハード)	Sky 5-6(Hard)	สนามบิน 5-6 (ยาก)	Céu 5-6(Difícil)	Cielo 5-6 (Difícil)	Himmel 5-6(Schwierig)	Небо 5-6(Слож.)	Ciel 5-6 (Difficile)	공항 5-6(어려움)
STAGE_NAME_811	軍事列車8-1(普通)	军事列车8-1(普通)	ミリタリートレイン8-1(ノーマル)	Military Train 8-1(Normal)	รถไฟทหาร 8-1 (ทั่วไป)	Trem Militar 8-1(Normal)	Tren Militar 8-1 (Normal)	Militärzug 8-1(Normal)	Военный Локомотив 8-1(Норм)	Train militaire 8-1 (Normal)	군수품 열차 8-1(일반)
STAGE_NAME_821	軍事列車8-2(普通)	军事列车8-2(普通)	ミリタリートレイン8-2(ノーマル)	Military Train 8-2(Normal)	รถไฟทหาร 8-2 (ทั่วไป)	Trem Militar 8-2(Normal)	Tren Militar 8-2 (Normal)	Militärzug 8-2(Normal)	Военный Локомотив 8-2(Норм)	Train militaire 8-2 (Normal)	군수품 열차 8-2(일반)
STAGE_NAME_831	軍事列車8-3(普通)	军事列车8-3(普通)	ミリタリートレイン8-3(ノーマル)	Military Train 8-3(Normal)	รถไฟทหาร 8-3 (ทั่วไป)	Trem Militar 8-3(Normal)	Tren Militar 8-3 (Normal)	Militärzug 8-3(Normal)	Военный Локомотив 8-3(Норм)	Train militaire 8-3 (Normal)	군수품 열차 8-3(일반)
STAGE_NAME_841	軍事列車8-4(普通)	军事列车8-4(普通)	ミリタリートレイン8-4(ノーマル)	Military Train 8-4(Normal)	รถไฟทหาร 8-4 (ทั่วไป)	Trem Militar 8-4(Normal)	Tren Militar 8-4 (Normal)	Militärzug 8-4(Normal)	Военный Локомотив 8-4(Норм)	Train militaire 8-4 (Normal)	군수품 열차 8-4(일반)
STAGE_NAME_851	軍事列車8-5(普通)	军事列车8-5(普通)	ミリタリートレイン8-5(ノーマル)	Military Train 8-5(Normal)	รถไฟทหาร 8-5 (ทั่วไป)	Trem Militar 8-5(Normal)	Tren Militar 8-5 (Normal)	Militärzug 8-5(Normal)	Военный Локомотив 8-5(Норм)	Train militaire 8-5 (Normal)	군수품 열차 8-5(일반)
STAGE_NAME_861	軍事列車8-6(普通)	军事列车8-6(普通)	ミリタリートレイン8-6(ノーマル)	Military Train 8-6(Normal)	รถไฟทหาร 8-6 (ทั่วไป)	Trem Militar 8-6(Normal)	Tren Militar 8-6 (Normal)	Militärzug 8-6(Normal)	Военный Локомотив 8-6(Норм)	Train militaire 8-6 (Normal)	군수품 열차 8-6(일반)
STAGE_NAME_612	浮遊遺跡6-1(困難)	浮游遗迹6-1(困难)	浮遊遺跡6-1(ハード)	Floating Ruins 6-1(Hard)	ซากโบราณลอยน้ำ 6-1 (ยาก)	Ruínas Flutuantes 6-1(Difícil)	Ruinas Flotantes 6-1 (Difícil)	Schwebende Ruinen 6-1(Schwierig)	Парящие Руины 6-1(Слож.)	Ruines flottantes 6-1 (Difficile)	부유 유적 6-1(어려움)
STAGE_NAME_622	浮遊遺跡6-2(困難)	浮游遗迹6-2(困难)	浮遊遺跡6-2(ハード)	Floating Ruins 6-2(Hard)	ซากโบราณลอยน้ำ 6-2 (ยาก)	Ruínas Flutuantes 6-2(Difícil)	Ruinas Flotantes 6-2 (Difícil)	Schwebende Ruinen 6-2(Schwierig)	Парящие Руины 6-2(Слож.)	Ruines flottantes 6-2 (Difficile)	부유 유적 6-2(어려움)
STAGE_NAME_632	浮遊遺跡6-3(困難)	浮游遗迹6-3(困难)	浮遊遺跡6-3(ハード)	Floating Ruins 6-3(Hard)	ซากโบราณลอยน้ำ 6-3 (ยาก)	Ruínas Flutuantes 6-3(Difícil)	Ruinas Flotantes 6-3 (Difícil)	Schwebende Ruinen 6-3(Schwierig)	Парящие Руины 6-3(Слож.)	Ruines flottantes 6-3 (Difficile)	부유 유적 6-3(어려움)
STAGE_NAME_642	浮遊遺跡6-4(困難)	浮游遗迹6-4(困难)	浮遊遺跡6-4(ハード)	Floating Ruins 6-4(Hard)	ซากโบราณลอยน้ำ 6-4 (ยาก)	Ruínas Flutuantes 6-4(Difícil)	Ruinas Flotantes 6-4 (Difícil)	Schwebende Ruinen 6-4(Schwierig)	Парящие Руины 6-4(Слож.)	Ruines flottantes 6-4 (Difficile)	부유 유적 6-4(어려움)
STAGE_NAME_652	浮遊遺跡6-5(困難)	浮游遗迹6-5(困难)	浮遊遺跡6-5(ハード)	Floating Ruins 6-5(Hard)	ซากโบราณลอยน้ำ 6-5 (ยาก)	Ruínas Flutuantes 6-5(Difícil)	Ruinas Flotantes 6-5 (Difícil)	Schwebende Ruinen 6-5(Schwierig)	Парящие Руины 6-5(Слож.)	Ruines flottantes 6-5 (Difficile)	부유 유적 6-5(어려움)
STAGE_NAME_662	浮遊遺跡6-6(困難)	浮游遗迹6-6(困难)	浮遊遺跡6-6(ハード)	Floating Ruins 6-6(Hard)	ซากโบราณลอยน้ำ 6-6 (ยาก)	Ruínas Flutuantes 6-6(Difícil)	Ruinas Flotantes 6-6 (Difícil)	Schwebende Ruinen 6-6(Schwierig)	Парящие Руины 6-6(Слож.)	Ruines flottantes 6-6 (Difficile)	부유 유적 6-6(어려움)
STAGE_NAME_911	電子空間9-1(普通)	电子空间9-1(普通)	サイバースペース9-1(ノーマル)	Cyberspace 9-1(Normal)	โลกไซเบอร์ 9-1 (ทั่วไป)	Ciberespaço 9-1(Normal)	Ciberespacio 9-1 (Normal)	Cyberspace 9-1(Normal)	Киберпространство 9-1(Норм)	Cyberespace 9-1 (Normal)	전뇌 세계 9-1(일반)
STAGE_NAME_921	電子空間9-2(普通)	电子空间9-2(普通)	サイバースペース9-2(ノーマル)	Cyberspace 9-2(Normal)	โลกไซเบอร์ 9-2 (ทั่วไป)	Ciberespaço 9-2(Normal)	Ciberespacio 9-2 (Normal)	Cyberspace 9-2(Normal)	Киберпространство 9-2(Норм)	Cyberespace 9-2 (Normal)	전뇌 세계 9-2(일반)
STAGE_NAME_931	電子空間9-3(普通)	电子空间9-3(普通)	サイバースペース9-3(ノーマル)	Cyberspace 9-3(Normal)	โลกไซเบอร์ 9-3 (ทั่วไป)	Ciberespaço 9-3(Normal)	Ciberespacio 9-3 (Normal)	Cyberspace 9-3(Normal)	Киберпространство 9-3(Норм)	Cyberespace 9-3 (Normal)	전뇌 세계 9-3(일반)
STAGE_NAME_941	電子空間9-4(普通)	电子空间9-4(普通)	サイバースペース9-4(ノーマル)	Cyberspace 9-4(Normal)	โลกไซเบอร์ 9-4 (ทั่วไป)	Ciberespaço 9-4(Normal)	Ciberespacio 9-4 (Normal)	Cyberspace 9-4(Normal)	Киберпространство 9-4(Норм)	Cyberespace 9-4 (Normal)	전뇌 세계 9-4(일반)
STAGE_NAME_951	電子空間9-5(普通)	电子空间9-5(普通)	サイバースペース9-5(ノーマル)	Cyberspace 9-5(Normal)	โลกไซเบอร์ 9-5 (ทั่วไป)	Ciberespaço 9-5(Normal)	Ciberespacio 9-5 (Normal)	Cyberspace 9-5(Normal)	Киберпространство 9-5(Норм)	Cyberespace 9-5 (Normal)	전뇌 세계 9-5(일반)
STAGE_NAME_961	電子空間9-6(普通)	电子空间9-6(普通)	サイバースペース9-6(ノーマル)	Cyberspace 9-6(Normal)	โลกไซเบอร์ 9-6 (ทั่วไป)	Ciberespaço 9-6(Normal)	Ciberespacio 9-6 (Normal)	Cyberspace 9-6(Normal)	Киберпространство 9-6(Норм)	Cyberespace 9-6 (Normal)	전뇌 세계 9-6(일반)
STAGE_NAME_712	深綠之森7-1(困難)	深绿之森7-1(困难)	エリアフォレスト7-1(ハード)	Area Forest 7-1(Hard)	ผืนป่าเขียวขจี 7-1 (ยาก)	Área Florestal 7-1(Difícil)	Zona del Bosque 7-1 (Difícil)	Gebietswald 7-1(Schwierig)	Лесная Зона 7-1(Слож.)	Forêt 7-1 (Difficile)	울창한 삼림 7-1(어려움)
STAGE_NAME_722	深綠之森7-2(困難)	深绿之森7-2(困难)	エリアフォレスト7-2(ハード)	Area Forest 7-2(Hard)	ผืนป่าเขียวขจี 7-2 (ยาก)	Área Florestal 7-2(Difícil)	Zona del Bosque 7-2 (Difícil)	Gebietswald 7-2(Schwierig)	Лесная Зона 7-2(Слож.)	Forêt 7-2 (Difficile)	울창한 삼림 7-2(어려움)
STAGE_NAME_732	深綠之森7-3(困難)	深绿之森7-3(困难)	エリアフォレスト7-3(ハード)	Area Forest 7-3(Hard)	ผืนป่าเขียวขจี 7-3 (ยาก)	Área Florestal 7-3(Difícil)	Zona del Bosque 7-3 (Difícil)	Gebietswald 7-3(Schwierig)	Лесная Зона 7-3(Слож.)	Forêt 7-3 (Difficile)	울창한 삼림 7-3(어려움)
STAGE_NAME_742	深綠之森7-4(困難)	深绿之森7-4(困难)	エリアフォレスト7-4(ハード)	Area Forest 7-4(Hard)	ผืนป่าเขียวขจี 7-4 (ยาก)	Área Florestal 7-4(Difícil)	Zona del Bosque 7-4 (Difícil)	Gebietswald 7-4(Schwierig)	Лесная Зона 7-4(Слож.)	Forêt 7-4 (Difficile)	울창한 삼림 7-4(어려움)
STAGE_NAME_752	深綠之森7-5(困難)	深绿之森7-5(困难)	エリアフォレスト7-5(ハード)	Area Forest 7-5(Hard)	ผืนป่าเขียวขจี 7-5 (ยาก)	Área Florestal 7-5(Difícil)	Zona del Bosque 7-5 (Difícil)	Gebietswald 7-5(Schwierig)	Лесная Зона 7-5(Слож.)	Forêt 7-5 (Difficile)	울창한 삼림 7-5(어려움)
STAGE_NAME_762	深綠之森7-6(困難)	深绿之森7-6(困难)	エリアフォレスト7-6(ハード)	Area Forest 7-6(Hard)	ผืนป่าเขียวขจี 7-6 (ยาก)	Área Florestal 7-6(Difícil)	Zona del Bosque 7-6 (Difícil)	Gebietswald 7-6(Schwierig)	Лесная Зона 7-6(Слож.)	Forêt 7-6 (Difficile)	울창한 삼림 7-6(어려움)
STAGE_NAME_1011	火山10-1(普通)	火山10-1(普通)	ヴォルカノ10-1(ノーマル)	Volcano 10-1(Normal)	ภูเขาไฟ 10-1 (ทั่วไป)	Vulcão 10-1(Normal)	Volcán 10-1 (Normal)	Vulkan 10-1(Normal)	Вулкан 10-1(Норм)	Volcan 10-1 (Normal)	화산 10-1(일반)
STAGE_NAME_1021	火山10-2(普通)	火山10-2(普通)	ヴォルカノ10-2(ノーマル)	Volcano 10-2(Normal)	ภูเขาไฟ 10-2 (ทั่วไป)	Vulcão 10-2(Normal)	Volcán 10-2 (Normal)	Vulkan 10-2(Normal)	Вулкан 10-2(Норм)	Volcan 10-2 (Normal)	화산 10-2(일반)
STAGE_NAME_1031	火山10-3(普通)	火山10-3(普通)	ヴォルカノ10-3(ノーマル)	Volcano 10-3(Normal)	ภูเขาไฟ 10-3 (ทั่วไป)	Vulcão 10-3(Normal)	Volcán 10-3 (Normal)	Vulkan 10-3(Normal)	Вулкан 10-3(Норм)	Volcan 10-3 (Normal)	화산 10-3(일반)
STAGE_NAME_1041	火山10-4(普通)	火山10-4(普通)	ヴォルカノ10-4(ノーマル)	Volcano 10-4(Normal)	ภูเขาไฟ 10-4 (ทั่วไป)	Vulcão 10-4(Normal)	Volcán 10-4 (Normal)	Vulkan 10-4(Normal)	Вулкан 10-4(Норм)	Volcan 10-4 (Normal)	화산 10-4(일반)
STAGE_NAME_1051	火山10-5(普通)	火山10-5(普通)	ヴォルカノ10-5(ノーマル)	Volcano 10-5(Normal)	ภูเขาไฟ 10-5 (ทั่วไป)	Vulcão 10-5(Normal)	Volcán 10-5 (Normal)	Vulkan 10-5(Normal)	Вулкан 10-5(Норм)	Volcan 10-5 (Normal)	화산 10-5(일반)
STAGE_NAME_1061	火山10-6(普通)	火山10-6(普通)	ヴォルカノ10-6(ノーマル)	Volcano 10-6(Normal)	ภูเขาไฟ 10-6 (ทั่วไป)	Vulcão 10-6(Normal)	Volcán 10-6 (Normal)	Vulkan 10-6(Normal)	Вулкан 10-6(Норм)	Volcan 10-6 (Normal)	화산 10-6(일반)
STAGE_NAME_812	軍事列車8-1(困難)	军事列车8-1(困难)	ミリタリートレイン8-1(ハード)	Military Train 8-1(Hard)	รถไฟทหาร 8-1 (ยาก)	Trem Militar 8-1(Difícil)	Tren Militar 8-1 (Difícil)	Militärzug 8-1(Schwierig)	Военный Локомотив 8-1(Слож.)	Train militaire 8-1 (Difficile)	군수품 열차 8-1(어려움)
STAGE_NAME_822	軍事列車8-2(困難)	军事列车8-2(困难)	ミリタリートレイン8-2(ハード)	Military Train 8-2(Hard)	รถไฟทหาร 8-2 (ยาก)	Trem Militar 8-2(Difícil)	Tren Militar 8-2 (Difícil)	Militärzug 8-2(Schwierig)	Военный Локомотив 8-2(Слож.)	Train militaire 8-2 (Difficile)	군수품 열차 8-2(어려움)
STAGE_NAME_832	軍事列車8-3(困難)	军事列车8-3(困难)	ミリタリートレイン8-3(ハード)	Military Train 8-3(Hard)	รถไฟทหาร 8-3 (ยาก)	Trem Militar 8-3(Difícil)	Tren Militar 8-3 (Difícil)	Militärzug 8-3(Schwierig)	Военный Локомотив 8-3(Слож.)	Train militaire 8-3 (Difficile)	군수품 열차 8-3(어려움)
STAGE_NAME_842	軍事列車8-4(困難)	军事列车8-4(困难)	ミリタリートレイン8-4(ハード)	Military Train 8-4(Hard)	รถไฟทหาร 8-4 (ยาก)	Trem Militar 8-4(Difícil)	Tren Militar 8-4 (Difícil)	Militärzug 8-4(Schwierig)	Военный Локомотив 8-4(Слож.)	Train militaire 8-4 (Difficile)	군수품 열차 8-4(어려움)
STAGE_NAME_852	軍事列車8-5(困難)	军事列车8-5(困难)	ミリタリートレイン8-5(ハード)	Military Train 8-5(Hard)	รถไฟทหาร 8-5 (ยาก)	Trem Militar 8-5(Difícil)	Tren Militar 8-5 (Difícil)	Militärzug 8-5(Schwierig)	Военный Локомотив 8-5(Слож.)	Train militaire 8-5 (Difficile)	군수품 열차 8-5(어려움)
STAGE_NAME_862	軍事列車8-6(困難)	军事列车8-6(困难)	ミリタリートレイン8-6(ハード)	Military Train 8-6(Hard)	รถไฟทหาร 8-6 (ยาก)	Trem Militar 8-6(Difícil)	Tren Militar 8-6 (Difícil)	Militärzug 8-6(Schwierig)	Военный Локомотив 8-6(Слож.)	Train militaire 8-6 (Difficile)	군수품 열차 8-6(어려움)
STAGE_NAME_1111	沙漠工廠11-1(普通)	沙漠工厂11-1(普通)	油田11-1(ノーマル)	Oil Field 11-1(Normal)	โรงงานทะเลทราย 11-1 (ทั่วไป)	Campo de Petróleo 11-1(Normal)	Campo Petrolero 11-1 (Normal)	Ölfeld 11-1(Normal)	Нефтебаза 11-1(Норм)	Champ pétrolier 11-1 (Normal)	사막 공장 11-1(일반)
STAGE_NAME_1121	沙漠工廠11-2(普通)	沙漠工厂11-2(普通)	油田11-2(ノーマル)	Oil Field 11-2(Normal)	โรงงานทะเลทราย 11-2 (ทั่วไป)	Campo de Petróleo 11-2(Normal)	Campo Petrolero 11-2 (Normal)	Ölfeld 11-2(Normal)	Нефтебаза 11-2(Норм)	Champ pétrolier 11-2 (Normal)	사막 공장 11-2(일반)
STAGE_NAME_1131	沙漠工廠11-3(普通)	沙漠工厂11-3(普通)	油田11-3(ノーマル)	Oil Field 11-3(Normal)	โรงงานทะเลทราย 11-3 (ทั่วไป)	Campo de Petróleo 11-3(Normal)	Campo Petrolero 11-3 (Normal)	Ölfeld 11-3(Normal)	Нефтебаза 11-3(Норм)	Champ pétrolier 11-3 (Normal)	사막 공장 11-3(일반)
STAGE_NAME_1141	沙漠工廠11-4(普通)	沙漠工厂11-4(普通)	油田11-4(ノーマル)	Oil Field 11-4(Normal)	โรงงานทะเลทราย 11-4 (ทั่วไป)	Campo de Petróleo 11-4(Normal)	Campo Petrolero 11-4 (Normal)	Ölfeld 11-4(Normal)	Нефтебаза 11-4(Норм)	Champ pétrolier 11-4 (Normal)	사막 공장 11-4(일반)
STAGE_NAME_1151	沙漠工廠11-5(普通)	沙漠工厂11-5(普通)	油田11-5(ノーマル)	Oil Field 11-5(Normal)	โรงงานทะเลทราย 11-5 (ทั่วไป)	Campo de Petróleo 11-5(Normal)	Campo Petrolero 11-5 (Normal)	Ölfeld 11-5(Normal)	Нефтебаза 11-5(Норм)	Champ pétrolier 11-5 (Normal)	사막 공장 11-5(일반)
STAGE_NAME_1161	沙漠工廠11-6(普通)	沙漠工厂11-6(普通)	油田11-6(ノーマル)	Oil Field 11-6(Normal)	โรงงานทะเลทราย 11-6 (ทั่วไป)	Campo de Petróleo 11-6(Normal)	Campo Petrolero 11-6 (Normal)	Ölfeld 11-6(Normal)	Нефтебаза 11-6(Норм)	Champ pétrolier 11-6 (Normal)	사막 공장 11-6(일반)
STAGE_NAME_912	電子空間9-1(困難)	电子空间9-1(困难)	サイバースペース9-1(ハード)	Cyberspace 9-1(Hard)	โลกไซเบอร์ 9-1 (ยาก)	Ciberespaço 9-1(Difícil)	Ciberespacio 9-1 (Difícil)	Cyberspace 9-1(Schwierig)	Киберпространство 9-1(Слож.)	Cyberespace 9-1 (Difficile)	전뇌 세계 9-1(어려움)
STAGE_NAME_922	電子空間9-2(困難)	电子空间9-2(困难)	サイバースペース9-2(ハード)	Cyberspace 9-2(Hard)	โลกไซเบอร์ 9-2 (ยาก)	Ciberespaço 9-2(Difícil)	Ciberespacio 9-2 (Difícil)	Cyberspace 9-2(Schwierig)	Киберпространство 9-2(Слож.)	Cyberespace 9-2 (Difficile)	전뇌 세계 9-2(어려움)
STAGE_NAME_932	電子空間9-3(困難)	电子空间9-3(困难)	サイバースペース9-3(ハード)	Cyberspace 9-3(Hard)	โลกไซเบอร์ 9-3 (ยาก)	Ciberespaço 9-3(Difícil)	Ciberespacio 9-3 (Difícil)	Cyberspace 9-3(Schwierig)	Киберпространство 9-3(Слож.)	Cyberespace 9-3 (Difficile)	전뇌 세계 9-3(어려움)
STAGE_NAME_942	電子空間9-4(困難)	电子空间9-4(困难)	サイバースペース9-4(ハード)	Cyberspace 9-4(Hard)	โลกไซเบอร์ 9-4 (ยาก)	Ciberespaço 9-4(Difícil)	Ciberespacio 9-4 (Difícil)	Cyberspace 9-4(Schwierig)	Киберпространство 9-4(Слож.)	Cyberespace 9-4 (Difficile)	전뇌 세계 9-4(어려움)
STAGE_NAME_952	電子空間9-5(困難)	电子空间9-5(困难)	サイバースペース9-5(ハード)	Cyberspace 9-5(Hard)	โลกไซเบอร์ 9-5 (ยาก)	Ciberespaço 9-5(Difícil)	Ciberespacio 9-5 (Difícil)	Cyberspace 9-5(Schwierig)	Киберпространство 9-5(Слож.)	Cyberespace 9-5 (Difficile)	전뇌 세계 9-5(어려움)
STAGE_NAME_962	電子空間9-6(困難)	电子空间9-6(困难)	サイバースペース9-6(ハード)	Cyberspace 9-6(Hard)	โลกไซเบอร์ 9-6 (ยาก)	Ciberespaço 9-6(Difícil)	Ciberespacio 9-6 (Difícil)	Cyberspace 9-6(Schwierig)	Киберпространство 9-6(Слож.)	Cyberespace 9-6 (Difficile)	전뇌 세계 9-6(어려움)
STAGE_NAME_1211	電力管理工廠12-1(普通)	电力管理工厂12-1(普通)	電力管理センター12-1(ノーマル)	Power Control Center 12-1(Normal)	โรงงานไฟฟ้า 12-1 (ทั่วไป)	Centro de Controle de Energia 12-1(Normal)	Centro de Control de Energía 12-1 (Normal)	Stromkontrollzentrum 12-1(Normal)	Электростанция 12-1(Норм)	Centre de contrôle 12-1 (Normal)	전력 제어 공장 12-1(일반)
STAGE_NAME_1221	電力管理工廠12-2(普通)	电力管理工厂12-2(普通)	電力管理センター12-2(ノーマル)	Power Control Center 12-2(Normal)	โรงงานไฟฟ้า 12-2 (ทั่วไป)	Centro de Controle de Energia 12-2(Normal)	Centro de Control de Energía 12-2 (Normal)	Stromkontrollzentrum 12-2(Normal)	Электростанция 12-2(Норм)	Centre de contrôle 12-2 (Normal)	전력 제어 공장 12-2(일반)
STAGE_NAME_1231	電力管理工廠12-3(普通)	电力管理工厂12-3(普通)	電力管理センター12-3(ノーマル)	Power Control Center 12-3(Normal)	โรงงานไฟฟ้า 12-3 (ทั่วไป)	Centro de Controle de Energia 12-3(Normal)	Centro de Control de Energía 12-3 (Normal)	Stromkontrollzentrum 12-3(Normal)	Электростанция 12-3(Норм)	Centre de contrôle 12-3 (Normal)	전력 제어 공장 12-3(일반)
STAGE_NAME_1241	電力管理工廠12-4(普通)	电力管理工厂12-4(普通)	電力管理センター12-4(ノーマル)	Power Control Center 12-4(Normal)	โรงงานไฟฟ้า 12-4 (ทั่วไป)	Centro de Controle de Energia 12-4(Normal)	Centro de Control de Energía 12-4 (Normal)	Stromkontrollzentrum 12-4(Normal)	Электростанция 12-4(Норм)	Centre de contrôle 12-4 (Normal)	전력 제어 공장 12-4(일반)
STAGE_NAME_1251	電力管理工廠12-5(普通)	电力管理工厂12-5(普通)	電力管理センター12-5(ノーマル)	Power Control Center 12-5(Normal)	โรงงานไฟฟ้า 12-5 (ทั่วไป)	Centro de Controle de Energia 12-5(Normal)	Centro de Control de Energía 12-5 (Normal)	Stromkontrollzentrum 12-5(Normal)	Электростанция 12-5(Норм)	Centre de contrôle 12-5 (Normal)	전력 제어 공장 12-5(일반)
